object,filter,telescope,file,x,y,flux,fwhm_x_pix,fwhm_y_pix,fwhm_avg_pix,fwhm_avg_arcsec
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,1396.8325907067897,999.034075387815,902408.9951171875,5.049231714153312,4.811553947900102,4.930392831026707,1.1339903511361427
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,941.1337349442242,1782.0459720836182,896378.2783203125,4.907394173020179,4.821254360519594,4.864324266769886,1.1187945813570739
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,1830.1190175912948,1454.8688030136814,843271.462890625,5.411274244556324,5.298151876676101,5.354713060616213,1.231584003941729
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,2234.1303869925346,2117.067034734844,646396.1279296875,4.79347518363299,4.656604433053204,4.725039808343096,1.0867591559189123
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,2030.9410237539043,694.5904552452503,631195.525390625,4.20810998509664,4.0495202871880425,4.128815136142341,0.9496274813127386
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,2271.0530032860615,279.51809782559826,629343.6337890625,4.641221415173914,4.220763174172721,4.430992294673318,1.019128227774863
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,800.2367903263694,364.63886095335124,389470.97021484375,4.086195685532494,4.2069399129089415,4.146567799220717,0.9537105938207651
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,1735.5968334688062,1724.773971868321,389333.94921875,4.225418795539534,4.4082303035422985,4.316824549540916,0.9928696463944108
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,365.6840625391698,1385.5035800425899,339121.12451171875,4.163811304630914,4.28830061014834,4.226055957389628,0.9719928701996144
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,536.6206205708847,2284.939187678317,330094.1591796875,4.725359053655026,4.948202122632356,4.836780588143691,1.112459535273049
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,111.75463344575616,1764.302029738839,321981.4052734375,4.467847364836329,4.655503631990781,4.561675498413555,1.0491853646351177
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,1730.979176302786,1159.4062879320475,314280.634765625,4.313929025448035,4.052542798579934,4.183235912013984,0.9621442597632164
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,1115.9990622031116,1538.6900649129261,294985.958984375,4.077460396153576,4.249429650982593,4.163445023568085,0.9575923554206595
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,2117.0883097948536,2016.445945206104,290036.2536621094,4.509502033611339,4.738265120826172,4.623883577218756,1.0634932227603138
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,1656.6666385135263,2050.2610086603336,288246.13671875,4.588087824264211,4.477866548248651,4.532977186256431,1.0425847528389793
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,1586.3229432334463,1592.8548353198194,252591.546875,4.285488140351746,4.162041530965974,4.22376483565886,0.9714659122015379
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,1130.551274304752,2258.1347751166795,229287.22265625,4.68391997677479,4.8088395431464805,4.746379759960636,1.0916673447909464
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,68.47277690399343,1231.2839235404626,216343.93237304688,4.436461166855684,4.35757262783271,4.397016897344197,1.0113138863891653
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,684.1082854948147,1409.1242806796783,203149.90600585938,4.061726567388364,4.230174200466603,4.145950383927484,0.9535685883033213
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,1341.3311542621223,1493.3647506651216,186507.2783203125,4.231330084501703,4.107209007785207,4.169269546143456,0.9589319956129948
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,2208.2510071879533,1087.8068376587494,178286.55615234375,4.308886022145488,4.202462777299979,4.255674399722734,0.9788051119362289
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,1967.7837427319878,1818.0605592631325,177404.42651367188,4.408257130331658,4.586084967823381,4.49717104907752,1.0343493412878295
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,1954.4964600096819,700.0623434092188,144595.5389404297,4.157425731881015,4.0739200958247235,4.115672913852869,0.9466047701861598
PTF13dwl,V,dup,PTF13dwl_V_comb_dup.fits,1563.5837597566092,1756.3782133527159,130025.69006347656,4.397689153020851,4.259977158852351,4.328833155936601,0.9956316258654182
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,1241.5666520477273,1560.517819779512,908373.4736328125,5.639067256145978,6.024001999719388,5.831534627932683,1.3412529644245172
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,1855.6487465005482,365.12422445609224,833276.47265625,5.787273070131079,4.8019750392254785,5.294624054678279,1.2177635325760041
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,593.4377591346406,887.469346502593,233068.40844726562,5.239439844251137,5.561334879102575,5.400387361676856,1.242089093185677
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,87.08093473224362,2013.7726772763453,229495.84033203125,5.827788170578852,5.7195904914288835,5.773689331003868,1.3279485461308898
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,2036.4425601917978,118.56910920782484,219222.46044921875,5.103940500280153,5.566227984383953,5.335084242332053,1.2270693757363722
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,2305.0040882600533,335.89221788535525,188248.59033203125,5.623895245906612,5.22127097751094,5.422583111708776,1.2471941156930184
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,425.07314350255314,987.686424538573,164840.30395507812,5.177881517892973,5.658781430580218,5.418331474236595,1.246216239074417
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,1776.6777034633642,2230.578970101654,89775.16345214844,5.396408032824417,5.8805074899053995,5.638457761364908,1.296845285113929
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,431.00954509917904,679.5017488988357,80498.58996582031,5.369214493406004,5.412524591882652,5.390869542644328,1.2398999948081955
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,987.761872811435,995.2413587894575,56965.2099609375,5.13861168988759,5.479699949451051,5.3091558196693205,1.2211058385239437
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,97.22582327959925,1455.9855492155925,51225.20886230469,5.720350593961908,5.482487855360856,5.601419224661382,1.288326421672118
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,1279.2089570661417,1399.4960514897891,38002.03894042969,5.143428650735515,5.622970491535108,5.383199571135312,1.2381359013611217
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,230.18995542482858,465.75981931010807,25492.64178466797,5.137951035219077,5.799720328832403,5.468835682025739,1.25783220686592
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,1514.9090513538572,1406.4886125476414,24151.120544433594,5.5616586574624955,5.353107870647142,5.457383264054819,1.2551981507326084
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,546.3965389437797,1937.3055998764937,22669.35580444336,5.494297652316989,5.622139308627989,5.558218480472489,1.2783902505086724
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,1878.2594328654336,1117.0942622894302,18881.035858154297,5.157070031228539,5.527108834808895,5.342089433018717,1.228680569594305
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,147.56945109806134,2098.040243166123,17678.94610595703,5.520464939605835,5.988039035382565,5.7542519874942,1.3234779571236661
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,240.6456054070884,1705.7452422950173,13930.518247127533,1.4804850831767682,1.9899570406038276,1.735221061890298,0.39910084423476855
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,559.9371578091971,963.9250899525797,11945.29037475586,8.110113441261227,10.482095324498149,9.296104382879687,2.138104008062328
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,1636.4036015229294,2022.8794373072528,11864.852233886719,5.642849111028868,5.3517431315733495,5.497296121301108,1.2643781078992549
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,1896.1639192377381,242.91451161576867,10019.044525146484,5.240381506896134,5.451122270694674,5.345751888795403,1.2295229344229428
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,1024.3478454805813,1978.371650327839,9721.535614013672,5.367709461538694,5.5074616327069075,5.437585547122801,1.2506446758382441
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,1655.4579014736773,2138.7744759069524,9252.63070678711,9.030456458455625,8.376697983360163,8.703577220907894,2.0018227608088157
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,107.17659748500193,1838.711930685468,9178.973606824875,1.3965533908156413,1.5772962362621885,1.486924813538915,0.34199270711395047
PTF13dym,B,dup,PTF13dym_B_comb_dup.fits,1815.0944266403603,228.05394112944248,8751.47837305069,1.6277962279037255,2.1113434538354614,1.8695698408695933,0.4300010634000065
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,1239.6412946132186,1564.8082323075232,750937.7420043945,8.440495337064048,7.500948412359901,7.970721874711975,1.8332660311837543
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,591.6712509997105,889.1769668542032,675595.76953125,4.1966927251604655,4.493614362235415,4.34515354369794,0.9993853150505262
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,2034.521393868927,120.52363730828937,639672.68359375,4.3236157593724025,4.743592609713863,4.533604184543133,1.0427289624449207
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,2302.970922492277,338.1714202748224,623398.498046875,4.443572772472232,4.745205406175916,4.594389089324074,1.0567094905445371
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,85.10705228916531,2015.153763908512,610840.1064453125,4.85571747456254,5.004158833137006,4.929938153849773,1.1338857753854479
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,423.3171162843281,989.2508734292632,592483.4453125,4.242058362669308,4.5160895406820005,4.379073951675654,1.0071870088854005
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,1122.2241607802987,1531.0410923003114,272500.73486328125,4.265796125272665,4.5646772903747,4.4152367078236825,1.015504442799447
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,429.20484701769783,680.7631687316189,264116.70263671875,4.401468741200678,4.482541620478646,4.4420051808396614,1.0216611915931222
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,986.0992454763132,997.0459151676722,232833.10083007812,4.133679035696112,4.559978746366577,4.346828891031344,0.9997706449372092
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,1774.6985434180472,2232.460553389875,225906.02465820312,4.646069831895804,4.743302327884423,4.694686079890113,1.079777798374726
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,1277.492748984578,1401.445636784874,167779.26904296875,4.32369331906344,4.403725683659044,4.363709501361242,1.003653185313086
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,1876.8547120538012,2707.3307495291183,165288.52319335938,4.726535726379067,4.86762057381977,4.797078150099418,1.1033279745228661
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,95.34876094341692,1457.6400366197217,157959.76416015625,4.658080942966731,4.678058868206062,4.668069905586396,1.0736560782848712
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,1513.1924633998165,1408.6489802784433,79282.35235595703,4.1422620451973895,4.590889997981545,4.366576021589467,1.0043124849655776
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,228.25330538662604,466.59891141014424,72812.9701538086,4.57944786398796,4.550369259143315,4.5649085615656375,1.0499289691600966
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,1876.394746830824,1119.3049295066537,67600.10180664062,4.267560303911208,4.463855743281785,4.365708023596497,1.0041128454271944
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,544.4946636355254,1938.7269772899917,65869.16015625,4.513628854502891,4.818152905074267,4.665890879788579,1.0731549023513731
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,689.119770927382,2794.45979484758,62138.92932128906,4.6130488135905985,4.864315911682791,4.738682362636695,1.0898969434064398
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,558.2397521670684,965.3181769699574,50448.9384765625,7.061045789709818,9.247502790389495,8.154274290049656,1.875483086711421
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,145.6316647226986,2099.333999269551,44734.69778442383,4.967153914348056,4.847340883066885,4.9072473987074705,1.1286669017027182
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,1022.5141472191185,1979.8569505607843,42150.80194091797,4.701651394915711,4.422263185571373,4.561957290243543,1.0492501767560147
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,1653.2134281697113,2140.639112032015,39287.84899902344,7.431927429427381,8.096891212791284,7.764409321109333,1.7858141438551465
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,539.711841978735,991.0562391343617,37206.35186767578,4.387463992647882,4.415699390642683,4.401581691645282,1.0123637890784147
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,1634.5419714141485,2024.7753026291887,34046.42297363281,4.4425427361299885,4.719158830503303,4.580850783316645,1.0535956801628283
PTF13dym,V,dup,PTF13dym_V_comb_dup.fits,791.8261162108661,1128.0831402084402,33023.773681640625,9.427682619590609,9.296617264309022,9.362149941949816,2.153294486648458
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,1616.3512747644638,1033.7735904641618,522426.8046875,11.648587175816246,11.263471602933935,11.45602938937509,2.6348867595562706
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,1932.7831019724908,1538.2960350811204,380878.580078125,11.61996065643936,11.164266090684569,11.392113373561966,2.620186075919252
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,1247.3143674200905,1094.6211224794704,172937.78271484375,11.287248787069883,11.193259787576164,11.240254287323022,2.585258486084295
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,1711.5454776186725,945.764830708052,129709.47900390625,10.98121265624339,11.652941773304674,11.31707721477403,2.6029277593980273
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,1448.869936184511,398.2697354264353,76765.14794921875,11.21002608082118,11.50850293449168,11.35926450765643,2.612630836760979
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,280.92644909068366,1375.9132585724212,61249.12072753906,11.225577134440401,11.438487706276556,11.332032420358479,2.60636745668245
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,1337.4749239195035,907.6646768206942,52433.813232421875,11.62459951712066,10.990270478626856,11.30743499787376,2.600710049510965
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,1585.763762842703,1917.6981788606536,50865.28112792969,11.568533003807085,11.153548973733301,11.361040988770192,2.6130394274171445
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,1326.5030487609408,558.005074826992,41260.55578613281,11.459217029834418,11.08960196759582,11.27440949871512,2.5931141847044774
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,1844.593151483947,1037.081755670585,38476.62561035156,11.0897705841626,11.617315270896222,11.35354292752941,2.6113148733317644
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,1181.9903061304258,1974.3409134311999,28544.070190429688,12.19835220279127,10.594861160157237,11.396606681474253,2.6212195367390785
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,610.6258745663896,74.74016636259442,25012.327880859375,10.929691963880536,11.071369540194722,11.00053075203763,2.530122072968655
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,1258.1819045859384,947.4710404329717,21762.473876953125,11.233246302654305,11.210684585816647,11.221965444235476,2.58105205217416
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,2172.7723183551234,1089.4576078683428,17051.086364746094,11.148961381282092,11.546294226674732,11.347627803978412,2.609954394915035
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,416.2754040969735,1424.415932514778,15794.061340332031,10.870662582607673,11.681412131771344,11.276037357189509,2.5934885921535873
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,658.3272537595326,1619.3614562046703,13870.549377441406,11.615533480286315,11.181317854527029,11.398425667406672,2.6216379035035344
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,1666.5745878072782,550.2241221637792,13529.289428710938,11.342679715587133,11.29438611649063,11.318532916038881,2.6032625706889427
PTF13ebh,B,dup,PTF13ebh_B_comb_dup.fits,91.62791903184524,1340.2699717056564,13415.650482177734,11.275200870041946,11.082227481639181,11.178714175840565,2.57110426044333
