telescope,filter,file,n_stars,median,mean,std,max,mad_sigma
dup,V,CSP13U_V_comb_dup.fits,22,1.3852727451246474,1.2558496875246734,0.35200479519680955,1.430544559294631,0.015926405973343216
dup,V,SN05bl_V_comb_dup.fits,24,1.3818218653389014,1.4054257670359336,0.5621754653702828,2.589230371751592,0.046851487972177495
dup,V,SN05bo_V_comb_dup.fits,25,1.3787232402553171,1.3701717462120535,0.43747685485927706,3.109046240849493,0.02621286296001761
dup,V,ASAS14jg_V_comb_dup.fits,25,1.3768168455240868,1.4284339379616648,0.2048155648505329,2.197465380444263,0.11810071634136386
dup,V,LSQ12hxx_V_comb_dup.fits,25,1.3715945515599035,1.5064131578635753,0.4157171387877489,2.614407467229817,0.14403370148728992
dup,B,CSP13abs_B_comb_dup.fits,25,1.370825681858843,1.403994985662417,0.14825621881335224,2.101918653743259,0.017100684304929798
dup,B,SN09P_B_comb_dup.fits,24,1.3693786550403135,1.577487090529541,0.6341207169314426,3.7753152251790607,0.03316455562762228
dup,B,CSP13N_B_comb_dup.fits,25,1.3620507799777914,1.3636352976620907,0.23498077634085124,2.225455616552097,0.0272403657865351
dup,B,LSQ14ghv_B_comb_dup.fits,23,1.3609643796514246,1.2383619612421035,0.44762008632856026,1.9830886391466016,0.01964410185160137
dup,V,ASAS14jz_V_comb_dup.fits,25,1.3609088324159508,1.4154947665557855,0.24212793106153854,2.568771072580794,0.03530767183557502
dup,B,CSP13U_B_comb_dup.fits,23,1.3590514540861691,0.9733124243768446,0.5103265645612988,1.4020133013804132,0.04503701892310322
dup,B,ASAS14hu_B_comb_dup.fits,25,1.358466311988241,1.3724519331010798,0.10202551428757592,1.601495542554222,0.09038573156956552
dup,B,CSP13am_B_comb_dup.fits,25,1.3573753852637769,1.3409744704186508,0.25151660567984313,2.216083232916291,0.1222596953993002
swo,V,SN05ke_V_comb_swo.fits,24,1.3549792021694778,1.5003205515989955,0.6202501266191184,3.4749098249470998,0.04781386845321146
dup,B,SN07so_B_comb_dup.fits,25,1.353176454315686,1.4265685819582452,0.25243901576528976,2.394124099657472,0.0645538639511999
dup,V,LSQ11pn_V_comb_dup.fits,25,1.3516213185911607,1.3708742537654586,0.20787373457984595,2.290107800961159,0.017645546459345282
