object,telescope,filter,file,plate_scale,z,n_stars,fwhm_arcsec,sigma_min_arcsec,sigma_min_kpc,smallest_safe_grid_radius_kpc
LSQ13vy,swo,V,LSQ13vy_V_comb_swo.fits,0.43,0.032,25,1.3137357055638308,0.5578921872760618,0.3565815300060769,1.0
LSQ14act,dup,B,LSQ14act_B_comb_dup.fits,0.23,0.0591,25,0.9168290861165975,0.38934146498848393,0.44503604858050155,1.0
LSQ14act,dup,V,LSQ14act_V_comb_dup.fits,0.23,0.0591,24,0.8869718797697582,0.37666227686544973,0.4305431258150035,1.0
LSQ14age,dup,B,LSQ14age_B_comb_dup.fits,0.23,0.08054,25,0.863466744753035,0.3666805650712416,0.5570411834061847,1.0
LSQ14age,dup,V,LSQ14age_V_comb_dup.fits,0.23,0.08054,25,0.8007302224597013,0.34003881704224975,0.5165684879220493,1.0
LSQ14ahc,dup,B,LSQ14ahc_B_comb_dup.fits,0.23,0.05086,25,0.8346798647831174,0.3544559027108788,0.352079425531823,1.0
LSQ14ahc,dup,V,LSQ14ahc_V_comb_dup.fits,0.23,0.05086,25,1.0222484098242663,0.4341089298867553,0.4311984127893952,1.0
LSQ14ahm,dup,B,LSQ14ahm_B_comb_dup.fits,0.23,0.04977,25,1.2468112284634931,0.5294719785889653,0.5153155964789795,1.0
LSQ14ahm,dup,V,LSQ14ahm_V_comb_dup.fits,0.23,0.04977,25,1.2905534494563997,0.5480475895301112,0.5333945551759215,1.0
LSQ14ajn,dup,B,LSQ14ajn_B_comb_dup.fits,0.23,0.02101,19,0.9747135438637508,0.4139227309197379,0.17601343514354564,1.0
LSQ14ajn,dup,V,LSQ14ajn_V_comb_dup.fits,0.23,0.02101,24,0.9156756091792342,0.38885162843396787,0.1653523852863636,1.0
LSQ14ajn,swo,V,LSQ14ajn_V_comb_swo.fits,0.43,0.02101,25,1.4417649671375061,0.6122612087407117,0.26035341986688,1.0
