object,z,radius_kpc,B,V,instrumental_B_minus_V
SN08fr,0.048,9.5,15445.9218286598,24070.01597838294,0.48165636503946363
SN08fr,0.048,10.0,15282.04998565818,22673.26256881287,0.4283310038743253
SN08fu,0.052,1.0,10423.398452922487,29628.221706301025,1.134240615077104
SN08fu,0.052,1.5,22132.24707794588,63081.10650066041,1.1371844818564083
SN08fu,0.052,2.0,37875.62544027229,108270.83251471186,1.1403791577212001
SN08fu,0.052,2.5,58572.630503088665,166944.41479378473,1.1371929135595236
SN08fu,0.052,3.0,82475.64384091907,234415.36182366908,1.1341508853918194
SN08fu,0.052,3.5,108286.6730719518,304283.6143925646,1.1217588884514131
SN08fu,0.052,4.0,136195.93121496373,375253.6054346382,1.100401850483408
SN08fu,0.052,4.5,164856.86403505158,446652.2951703598,1.082156339285771
SN08fu,0.052,5.0,192847.47626592175,516186.12878186826,1.0689809250410829
SN08fu,0.052,5.5,219656.0196762681,582333.1381978341,1.0585709878092833
SN08fu,0.052,6.0,245472.29277409165,646143.2771787912,1.0508158775098877
SN08fu,0.052,6.5,271124.67105558194,708617.9494706396,1.0431077770346642
SN08fu,0.052,7.0,297214.918061538,771500.1262475376,1.0356634933915079
SN08fu,0.052,7.5,323482.66355882725,833751.3660512198,1.0279638701323115
SN08fu,0.052,8.0,349245.7262178326,893377.4274949069,1.0197596872518573
SN08fu,0.052,8.5,373194.69993025897,948410.1338416458,1.0126517962190857
SN08fu,0.052,9.0,394512.5680922738,998112.3608227418,1.007796477025508
SN08fu,0.052,9.5,413934.4789326229,1042146.9262040958,1.0024933729535395
SN08fu,0.052,10.0,431082.1097857633,1081154.738283942,0.9983196407577153
SN08fw,0.009,1.0,83505.51606401292,131957.50646131323,0.4967973399567185
SN08fw,0.009,1.5,107119.84218467346,168768.19772374257,0.49355172102005157
SN08fw,0.009,2.0,178420.25224671324,273976.31758042023,0.4656721878642176
SN08fw,0.009,2.5,441700.4664687088,634555.9591774981,0.39335517265277864
SN08fw,0.009,3.0,655453.673502712,925024.9553257828,0.3740286186909091
SN08fw,0.009,3.5,962612.1993791376,1379525.0976937746,0.39069561181638157
SN08fw,0.009,4.0,1195211.557715915,1654836.5447289234,0.3532757974582864
SN08fw,0.009,4.5,3830143.62004968,3415790.07886661,-0.12430971588163686
SN08fw,0.009,5.0,16614070.468599267,17746265.805548526,0.07157733487287586
SN08fw,0.009,5.5,17169051.25545635,18754789.04784108,0.09591471615685454
SN08fw,0.009,6.0,17327551.42373883,18987275.181162987,0.09931362060353754
SN08fw,0.009,6.5,17457547.912658393,19181369.3905628,0.1022409157909273
SN08fw,0.009,7.0,17841496.74143647,19909783.59418602,0.11908813647480003
SN08fw,0.009,7.5,18173066.741899967,20418531.219535835,0.12649069224600185
SN08fw,0.009,8.0,18418010.869909897,20743334.62878424,0.1290896211051893
SN08fw,0.009,8.5,18606641.01032621,21034989.018039003,0.13318577755823316
SN08fw,0.009,9.0,18943700.935901493,21556252.845676124,0.14027110037738647
SN08fw,0.009,9.5,19268516.10584897,22020519.29406592,0.14494821516375825
SN08fw,0.009,10.0,19876096.39366302,22909858.6362452,0.15422828780944414
SN08gg,0.032,1.0,-565.6532789441824,-487.6485404605,
SN08gg,0.032,1.5,-1202.195663258133,-1101.0680540043718,
SN08gg,0.032,2.0,-2016.259365847012,-2011.6729341737584,
SN08gg,0.032,2.5,-2828.508469043688,-2874.964996773743,
SN08gg,0.032,3.0,-4195.649638160078,-3905.3510411641655,
SN08gg,0.032,3.5,-5399.037119714402,-4727.824272231292,
SN08gg,0.032,4.0,-5621.207215486451,-4547.786953340743,
SN08gg,0.032,4.5,-4756.206842769005,-3098.059628165942,
SN08gg,0.032,5.0,-3633.0025846593526,-211.9493535220172,
SN08gg,0.032,5.5,-2353.8873021941727,3387.5906719708946,
SN08gg,0.032,6.0,-846.922311618735,6538.439333663264,
SN08gg,0.032,6.5,825.2842518534017,10752.264011031082,2.7872409039050545
SN08gg,0.032,7.0,2642.23795238389,15932.344134821607,1.9507693803458475
SN08gg,0.032,7.5,3799.285402175075,21077.604689855907,1.8602983402518811
SN08gg,0.032,8.0,5263.743397100792,27061.471438945096,1.777641743907279
SN08gg,0.032,8.5,7774.274362218988,34006.29704666708,1.6022487020357687
SN08gg,0.032,9.0,10953.11026805002,44486.42731236036,1.5217251731787038
SN08gg,0.032,9.5,16923.178569077747,59431.10407486596,1.3638296533935446
SN08gg,0.032,10.0,27753.21987109119,81090.43228891272,1.1641405982448556
SN08gl,0.034,1.0,1519.1812641379374,3585.588656808287,0.9323771740376741
SN08gl,0.034,1.5,3701.9798051285625,8869.29432057319,0.9486375539464189
SN08gl,0.034,2.0,7726.357163010824,19671.48798706773,1.0146560794167996
SN08gl,0.034,2.5,14842.939730913762,40255.56439478329,1.0832649898393525
SN08gl,0.034,3.0,21313.567132670025,61353.09815846667,1.14795089256202
SN08gl,0.034,3.5,26092.227567443173,76059.12129686856,1.1616003652781957
SN08gl,0.034,4.0,30575.116579039524,88663.59408360446,1.1559430258478955
SN08gl,0.034,4.5,35201.98226457157,101945.2629662264,1.1544998266722502
SN08gl,0.034,5.0,40280.59244390664,116280.46453751667,1.1510272714959782
SN08gl,0.034,5.5,45581.16623330312,131948.1720135343,1.1540448629384454
SN08gl,0.034,6.0,51485.260206058825,149031.58974611774,1.153988555422078
SN08gl,0.034,6.5,57726.62566364236,167985.17009389636,1.1597369283453727
SN08gl,0.034,7.0,64653.88922554936,187737.2226704076,1.1573893349020923
SN08gl,0.034,7.5,71872.35044336291,209631.465579044,1.1622365568951207
SN08gl,0.034,8.0,79917.71426416232,233753.74148087605,1.16528879215859
SN08gl,0.034,8.5,88538.4950285216,259489.7565246164,1.167470207388103
SN08gl,0.034,9.0,98550.97940912876,287886.472557131,1.163900784197862
SN08gl,0.034,9.5,109396.50346344916,319521.2049265921,1.1637406099838652
SN08gl,0.034,10.0,120835.25529051092,354257.0899079748,1.1678122169568186
SN08go,0.062,1.0,-15.511362651234949,163.07335552308518,
SN08go,0.062,1.5,55.34373259751209,263.2908765876505,1.6934184103035819
SN08go,0.062,2.0,206.7579044314415,659.4265689739407,1.2592607988731952
SN08go,0.062,2.5,300.8730175695812,978.5033552304652,1.2804476935225955
SN08go,0.062,3.0,563.9915426033472,1623.7607096610918,1.1481235924931554
SN08go,0.062,3.5,708.8114880651863,2430.734746949711,1.3380170535874965
SN08go,0.062,4.0,826.9114319075406,3431.989334990629,1.5452173339460449
SN08go,0.062,4.5,1041.5137895303433,4494.809980235489,1.5876157804063018
SN08go,0.062,5.0,1105.438355141694,5815.132955423863,1.802562799077305
SN08go,0.062,5.5,1316.6632743213922,7243.974410436167,1.8512554638127607
SN08go,0.062,6.0,1454.287220011226,8475.815377606206,1.9138282514631824
SN08go,0.062,6.5,1793.0425657390033,10010.687027880913,1.8671832107990027
SN08go,0.062,7.0,2303.8316735092803,12098.142782857802,1.800669902554475
SN08go,0.062,7.5,2853.0602949002914,14713.690317542152,1.7810266530682761
SN08go,0.062,8.0,3683.061056716104,18215.67768549548,1.735591036489731
SN08go,0.062,8.5,4027.098715792392,22311.60051787929,1.858846124689733
SN08go,0.062,9.0,4904.543905470495,26209.26907794437,1.819640707134328
SN08go,0.062,9.5,6027.312585978303,30701.97545921205,1.7676065124066977
SN08go,0.062,10.0,7087.454849195921,35549.17276899109,1.7508479847577734
SN08gp,0.033,1.0,3793.672175799029,10025.445315821156,1.0551096828854405
SN08gp,0.033,1.5,8660.450759450643,22397.95620154484,1.0316697357052316
SN08gp,0.033,2.0,15620.964573963744,40728.39060877589,1.040473504257948
SN08gp,0.033,2.5,24841.96556488716,65422.20727150176,1.051348093000013
