object,z,radius_kpc,B,V,instrumental_B_minus_V
LSQ12hno,0.048,9.5,29152.13012399022,56853.2621565845,0.725212737738284
LSQ12hno,0.048,10.0,29528.867285404056,57533.23719996717,0.7241800576337455
LSQ12hnr,0.1243,1.0,5.055657713652609,50.46360796729284,2.4980015870817027
LSQ12hnr,0.1243,1.5,12.506637334943887,88.16116657744574,2.1203419295791597
LSQ12hnr,0.1243,2.0,4.716984010666744,80.01877223625301,3.0738186985391676
LSQ12hnr,0.1243,2.5,8.36596549253872,87.03857222838641,2.5429892234909897
LSQ12hnr,0.1243,3.0,1.8590815490104455,142.51840939269954,4.711431315147517
LSQ12hnr,0.1243,3.5,34.23920771145737,221.3439858179014,2.02636004884956
LSQ12hnr,0.1243,4.0,47.55285404461756,317.85120815973875,2.062618197079735
LSQ12hnr,0.1243,4.5,94.2901346466052,401.2887305546984,1.5724767691082209
LSQ12hnr,0.1243,5.0,173.47733478620287,583.4099465917134,1.3168277197602327
LSQ12hnr,0.1243,5.5,253.4034150242001,786.1567496137429,1.2292417100807749
LSQ12hnr,0.1243,6.0,340.5140219286227,1016.9086598348226,1.1878673635740342
LSQ12hnr,0.1243,6.5,423.0948053082659,1188.7624216293668,1.1216434370985895
LSQ12hnr,0.1243,7.0,507.35173609032967,1263.1581159598354,0.9903714150191676
LSQ12hnr,0.1243,7.5,552.2589388784166,1277.4991679183968,0.9105446795806215
LSQ12hnr,0.1243,8.0,565.689481879396,1359.51271346651,0.9520129236511392
LSQ12hnr,0.1243,8.5,603.6629401556575,1461.2580902087657,0.9598310350074134
LSQ12hnr,0.1243,9.0,614.1350774979923,1458.4751024776742,0.939087790155171
LSQ12hnr,0.1243,9.5,717.4172395268827,1461.5609480131382,0.7726128046718959
LSQ12hnr,0.1243,10.0,795.1254805074952,1411.964948288663,0.6234706113776031
LSQ12hvj,0.071,1.0,624.7213561890204,1483.3459902433658,0.9388902733803302
LSQ12hvj,0.071,1.5,1376.0841023537837,3131.8970312749616,0.8929062439444693
LSQ12hvj,0.071,2.0,2471.991118288747,5572.732356296908,0.8825531987675944
LSQ12hvj,0.071,2.5,3963.320412445577,8854.668803807834,0.8727828440421017
LSQ12hvj,0.071,3.0,5749.824551237406,13152.553430802333,0.8983887045296499
LSQ12hvj,0.071,3.5,8070.53277264978,18486.6561595493,0.8998903956479852
LSQ12hvj,0.071,4.0,10931.053120245915,24992.775280829548,0.8978811987841524
LSQ12hvj,0.071,4.5,13945.996151050143,31986.69193402457,0.9012994665796183
LSQ12hvj,0.071,5.0,16746.363395745768,38316.11888497254,0.8986525023406317
LSQ12hvj,0.071,5.5,19217.181559388016,44053.51864098438,0.9007272720345972
LSQ12hvj,0.071,6.0,21579.30453262472,49181.86064832668,0.8944187775154682
LSQ12hvj,0.071,6.5,23983.220181906403,54237.73098579427,0.885985045294524
LSQ12hvj,0.071,7.0,26266.604943079685,59132.54838379063,0.8810566339620183
LSQ12hvj,0.071,7.5,28645.672844841756,63983.83713024677,0.8725281341397242
LSQ12hvj,0.071,8.0,30910.24060990748,68810.56117128879,0.8688817849415903
LSQ12hvj,0.071,8.5,33108.92725841801,73509.94789359017,0.8660025130742688
LSQ12hvj,0.071,9.0,35148.18177240459,77637.39682438837,0.8604202534213073
LSQ12hvj,0.071,9.5,36949.779077699495,81582.65686854182,0.8599649965066792
LSQ12hvj,0.071,10.0,38747.28207593964,85427.0836489766,0.8583858402294265
LSQ12hxx,0.069,1.0,686.9881943299632,1682.2039083755585,0.9723234093809362
LSQ12hxx,0.069,1.5,1580.8720553347982,3894.804375058728,0.9789723164165548
LSQ12hxx,0.069,2.0,2824.910101066978,7221.902354257848,1.0191174514714156
LSQ12hxx,0.069,2.5,4583.1647186277,11854.299737466306,1.0317760954832549
LSQ12hxx,0.069,3.0,6886.451466596475,17810.063763190105,1.0316749581173488
LSQ12hxx,0.069,3.5,9971.676965227802,25248.177949379933,1.0086546036539938
LSQ12hxx,0.069,4.0,13655.8077771273,34559.09115777571,1.0081122947187713
LSQ12hxx,0.069,4.5,18051.64069888326,45818.47668697421,1.0113099138244095
LSQ12hxx,0.069,5.0,23120.51723280914,58916.33643185919,1.0155954698555567
LSQ12hxx,0.069,5.5,28796.338691196903,74169.69194414892,1.0272230057432805
LSQ12hxx,0.069,6.0,35232.62150384955,91998.67314017944,1.0420915135434463
LSQ12hxx,0.069,6.5,42534.55968721916,112978.094358479,1.0606307591617843
LSQ12hxx,0.069,7.0,50484.17394275648,135521.15006841518,1.0721295602889156
LSQ12hxx,0.069,7.5,58611.61104979873,157579.14356082916,1.0737876920665168
LSQ12hxx,0.069,8.0,66430.61736864729,178083.09620955714,1.0706360232269436
LSQ12hxx,0.069,8.5,73963.61308508934,197333.66811184067,1.0654576767940847
LSQ12hxx,0.069,9.0,81431.85785183315,215639.24062455056,1.0573336263459996
LSQ12hxx,0.069,9.5,88604.58734019722,232807.5576352201,1.0488521686114836
LSQ12hxx,0.069,10.0,95293.7472199186,248865.55328901493,1.0422509573772991
LSQ12hzj,0.029,1.0,13261.193673501746,34358.08464000602,1.0336158186277762
LSQ12hzj,0.029,1.5,27566.15463992377,71239.44508226453,1.0308608494043408
LSQ12hzj,0.029,2.0,38852.9506804927,99720.89786239306,1.023405433306324
LSQ12hzj,0.029,2.5,47331.20270460587,122205.30910373952,1.0298563341519147
LSQ12hzj,0.029,3.0,54515.62581675275,141239.00697849583,1.0335841337464384
LSQ12hzj,0.029,3.5,60933.84008181815,158276.0148470483,1.0363913959988007
LSQ12hzj,0.029,4.0,66492.31985637291,173487.0786316995,1.0412391214939474
