object,offset_kpc,n_radii,rho_colour_vs_radius,slope_mag_per_kpc,colour_range,step_at_nucleus_entry,offset_bin
CSP12G,2.510513572961164,19,-0.8087719298245614,-0.013493185239513747,0.13317731122011622,-0.08023245378347643,"(2.0, 5.0]"
CSP12J,0.524396932751884,19,-0.9894736842105263,-0.008905354852006603,0.08527837569915953,,"(0.0, 2.0]"
CSP13aam,8.937441407672392,13,-0.8406593406593407,-0.2083863162234863,1.5503229063656594,-0.227247257897373,"(5.0, 10.0]"
CSP13aao,0.0569505842748359,19,-0.5596491228070175,-0.0022472741975338214,0.10465349803677482,,"(0.0, 2.0]"
CSP14aaq,0.3725521324302648,19,-1.0,-0.009941014408925619,0.10110196078230871,,"(0.0, 2.0]"
CSP14acy,4.3233963634400885,19,-0.25789473684210523,2.590638667222978e-05,0.15661436206034218,-0.01533765891386829,"(2.0, 5.0]"
CSP14ade,2.015897757293228,19,-0.9964912280701754,-0.020899915399852715,0.2024827790411976,-0.15407967234393682,"(2.0, 5.0]"
KISS13l,6.423653047138713,16,-0.011764705882352941,-0.04913596449051468,1.2876885096953632,0.15214893440423816,"(5.0, 10.0]"
KISS13v,1.293878291800686,19,-0.9122807017543859,-0.08908762707258942,1.2465643350408466,,"(0.0, 2.0]"
KISS15m,7.3577738929403695,16,0.7676470588235293,0.4702989694945465,6.419183041324208,1.8633630620188724,"(5.0, 10.0]"
LSQ11bk,0.7810124551041021,18,0.5851393188854489,0.03429417575348556,0.5126167921113989,,"(0.0, 2.0]"
LSQ11ot,6.05034043443309,19,0.8280701754385964,0.0050139144651170885,0.04721323734116578,0.033140699359007764,"(5.0, 10.0]"
LSQ11pn,4.911619536571509,19,0.5368421052631579,0.004446494317996427,0.07908089201147894,0.032657771682693904,"(2.0, 5.0]"
LSQ12aor,8.899745299364538,18,0.9009287925696594,0.013165526335366207,0.11857573997016202,0.044285486673617536,"(5.0, 10.0]"
LSQ12bld,11.381313466439863,19,-0.6070175438596491,-0.11570349450068872,1.4397263657836703,,"(10.0, 45.0]"
LSQ12btn,11.004843049391653,19,-0.015789473684210527,0.008989467424674316,0.23730768726048246,,"(10.0, 45.0]"
LSQ12ca,11.556493801162729,19,0.2368421052631579,0.009379474641176087,0.2400077684299975,,"(10.0, 45.0]"
LSQ12cda,17.938651482350476,15,-0.7071428571428571,-0.0704044257069145,0.7220180793180482,,"(10.0, 45.0]"
LSQ12fvl,9.225739272369127,19,0.15964912280701754,0.005180235843185087,0.19139470334788045,,"(5.0, 10.0]"
LSQ12fxd,24.697723563212445,19,-0.4508771929824561,-0.013527482208175784,0.26355422405144846,,"(10.0, 45.0]"
LSQ12gdj,16.366160531264175,19,0.41578947368421054,0.009207576500014676,0.2033827754349955,,"(10.0, 45.0]"
LSQ12gln,12.072728787911034,17,-0.9166666666666667,-0.246205038677222,4.10396909240071,,"(10.0, 45.0]"
LSQ12gpw,10.73078281425864,18,0.9133126934984519,0.026174104375519053,0.30375918876398156,,"(10.0, 45.0]"
LSQ12gxj,12.10624969106145,19,-0.3140350877192983,-0.004362920386023707,0.5853049753586228,,"(10.0, 45.0]"
