telescope,filter,file,n_stars,median,mean,std,max,mad_sigma,flag_high_scatter,flag_very_soft,flag_few_stars,any_flag
dup,V,SN2012id_V_comb_dup.fits,25,1.0424066055457684,1.0431371768502615,0.107291429550521,1.3837944104585735,0.0574406419723894,False,False,False,False
dup,V,SN09ag_V_comb_dup.fits,25,1.042352721348318,1.0958494399584484,0.1835931507217421,1.615099209520925,0.1308095002345227,False,False,False,False
dup,B,SN05hk_B_comb_dup.fits,20,1.0420320588711305,0.9172489929610294,0.3159624824486438,1.2751039145953798,0.0544711979257409,False,False,False,False
dup,V,SN09P_V_comb_dup.fits,25,1.0414204663334627,1.1814149642259004,0.473522218083879,3.337331857566403,0.0341940164457626,False,False,False,False
dup,V,LSQ14q_V_comb_dup.fits,25,1.0403539069609835,1.149475910448062,0.2528171796331012,1.8772955814531824,0.0420729939088932,False,False,False,False
dup,V,SN2012aq_V_comb_dup.fits,24,1.040180396379591,1.1358226146991834,0.2527522705402146,1.9467011730950707,0.0309750849167333,False,False,False,False
dup,B,SN07ba_B_comb_dup.fits,24,1.0381720768316227,1.0593268478788047,0.2062817365075758,1.4495732022133263,0.0418610118813644,False,False,False,False
swo,V,CSP13abl_V_comb_swo.fits,25,1.0374878543799069,1.0998679872751569,0.1871131577853353,1.5796292489360373,0.1223167551005773,False,False,False,False
dup,V,SN07bd_V_comb_dup.fits,25,1.0369586171809877,1.009271552313841,0.1509514577377129,1.192285765725637,0.0541666328508403,False,False,False,False
dup,V,CSP14ade_V_comb_dup.fits,25,1.0360539885752014,1.062068083882405,0.0770705329326282,1.3153948283987398,0.0303273165057171,False,False,False,False
dup,B,SN09ad_B_comb_dup.fits,25,1.033497875876071,1.304187862162559,1.1303901240911218,6.693067661663748,0.0468159318271779,False,False,False,False
dup,V,LSQ15agh_V_comb_dup.fits,25,1.0328066376713871,1.1293398799558296,0.2552303077990547,1.9798105131274253,0.0537040614690608,False,False,False,False
dup,B,PTF11pra_B_comb_dup.fits,25,1.032324965649357,1.3262203829476784,0.6213473389823363,3.4666269786160955,0.0901200343120049,False,False,False,False
dup,B,SN2012gm_B_comb_dup.fits,25,1.0314922510710056,1.0520502328550811,0.1072481202178922,1.5411408974421892,0.0301792567066279,False,False,False,False
dup,B,SN06br_B_comb_dup.fits,20,1.031424398749834,1.038139674280525,0.1072911439598926,1.437504347245432,0.0177468078834053,False,False,False,False
dup,B,SN06D_B_comb_dup.fits,19,1.0310669653375215,1.1058089021642192,1.2871643315022694,6.2243715349727005,0.1941151631980178,False,False,False,False
dup,V,KISS13l_V_comb_dup.fits,22,1.0309890190652813,1.030742500983398,0.438301733290898,2.00522849962305,0.0701399848714473,False,False,False,False
dup,B,PTF14yy_B_comb_dup.fits,24,1.0308724847710464,1.016982912984696,0.3039166560844772,1.976284081786796,0.0568513221893768,False,False,False,False
dup,B,SN07af_B_comb_dup.fits,18,1.030645521125372,0.8760506216578602,0.3448491542843192,1.300378575054741,0.2041394109075085,False,False,False,False
dup,V,LSQ12hzs_V_comb_dup.fits,25,1.0285996805686548,1.034644328743041,0.128715371165673,1.417312717343387,0.0919010102491549,False,False,False,False
dup,B,SN08bc_B_comb_dup.fits,25,1.0275844084067676,1.097428026390519,0.2042635652683977,1.569403050963933,0.1545302388747669,False,False,False,False
dup,V,SN05M_V_comb_dup.fits,18,1.0272174076926677,0.918676719554744,0.4364989212240547,1.8388113110434687,0.2393129211600794,False,False,False,False
dup,B,ASAS15ba_B_comb_dup.fits,21,1.027023469496258,0.8675479794794454,0.3059736277899597,1.0645077368489806,0.0289312476396478,False,False,False,False
dup,V,CSP13aaf_V_comb_dup.fits,24,1.024971559275059,1.1516952532824087,0.5322231935346818,3.262666287867797,0.0842605627486663,False,False,False,False
dup,B,LSQ14ba_B_comb_dup.fits,24,1.0249645628469624,1.0462935578290888,0.0616926181368438,1.2022148035705142,0.039214418476996,False,False,False,False
dup,B,SN04eo_B_comb_dup.fits,24,1.0229589323286556,1.0942331835152823,0.1545155778740569,1.5559443034587277,0.0689034335135609,False,False,False,False
dup,V,CSP13aay_V_comb_dup.fits,25,1.0223308145665324,1.116318921492815,0.272854743077335,1.9764613024206084,0.0443890930586994,False,False,False,False
