object,telescope,filter,file,z,fwhm_arcsec,sigma_min_arcsec,sigma_min_kpc,smallest_safe_grid_radius_kpc
ASAS15go,dup,B,ASAS15go_B_comb_dup.fits,0.01892,1.1289395069993096,0.47941646725046116,0.18404810176593198,1.0
ASAS15ba,swo,V,ASAS15ba_V_comb_swo.fits,0.02313,1.1288199644823638,0.4793657022176095,0.22383713904090272,1.0
SN07hj,dup,V,SN07hj_V_comb_dup.fits,0.014,1.1270422365794466,0.47861077068614555,0.13677155898276727,1.0
LSQ14xi,dup,B,LSQ14xi_B_comb_dup.fits,0.0508,1.1269144643689677,0.4785565108242302,0.4748209441987131,1.0
SN08hu,dup,V,SN08hu_V_comb_dup.fits,0.05,1.1267449319222036,0.4784845170227837,0.4677160107843132,1.0
SN2012E,dup,V,SN2012E_V_comb_dup.fits,0.02,1.124615994638278,0.47758044059944177,0.19355609123561457,1.0
ASAS15hf,dup,V,ASAS15hf_V_comb_dup.fits,0.00618,1.124272237042296,0.47743446018930064,0.0608021555332756,1.0
LSQ15agh,dup,B,LSQ15agh_B_comb_dup.fits,0.0603,1.1236400096219938,0.4771659779238994,0.5557128175358924,1.0
ASAS15gr,dup,B,ASAS15gr_B_comb_dup.fits,0.024,1.1229828594756357,0.47688691195121724,0.23081326182267575,1.0
SN08ae,dup,V,SN08ae_V_comb_dup.fits,0.03,1.1221766739889203,0.4765445564967456,0.2862365836453449,1.0
CSP14acy,dup,B,CSP14acy_B_comb_dup.fits,0.0664,1.1194514061492382,0.4753872418028127,0.6052967071125425,1.0
SN08ia,dup,V,SN08ia_V_comb_dup.fits,0.022,1.1193463399470216,0.47534262429480467,0.2114029030643187,1.0
LSQ11ot,dup,V,LSQ11ot_V_comb_dup.fits,0.027,1.1162925998194613,0.47404582026342906,0.25718743751892204,1.0
SN09aa,swo,V,SN09aa_V_comb_swo.fits,0.027,1.1153049805520645,0.4736264169763368,0.25695989568207106,1.0
CSP14aaq,dup,B,CSP14aaq_B_comb_dup.fits,0.03591,1.1116597889801263,0.4720784466422001,0.33701984730040413,1.0
SN07hx,dup,V,SN07hx_V_comb_dup.fits,0.0798,1.111626625203163,0.4720643632828227,0.7111566538315697,1.0
SN08ae,dup,B,SN08ae_B_comb_dup.fits,0.03,1.1102918003501725,0.4714975153592172,0.2832050773716319,1.0
LSQ12cda,dup,B,LSQ12cda_B_comb_dup.fits,0.13749,1.1099326568645853,0.4713450011633469,1.1454235335519456,1.5
ASAS15aj,dup,V,ASAS15aj_V_comb_dup.fits,0.01092,1.1085841410811506,0.47077233923689504,0.10532790449384526,1.0
SN08fr,dup,V,SN08fr_V_comb_dup.fits,0.048,1.1062558697607212,0.46978361344218206,0.4418887324206625,1.0
SN2012id,dup,B,SN2012id_B_comb_dup.fits,0.0157,1.1051204971997912,0.4693014651084587,0.15008650277738,1.0
SN2013hn,dup,V,SN2013hn_V_comb_dup.fits,0.0151,1.1049347186220786,0.4692225722104198,0.144431446148084,1.0
SN09I,dup,V,SN09I_V_comb_dup.fits,0.026,1.1041570152301792,0.4688923119879707,0.2452644423089922,1.0
SN05el,dup,B,SN05el_B_comb_dup.fits,0.015,1.103796792821049,0.4687393396154575,0.14334456535010698,1.0
SN2012aq,dup,B,SN2012aq_B_comb_dup.fits,0.052,1.1029975344697502,0.4683999258445473,0.4750467622217728,1.0
ASAS14ad,dup,B,ASAS14ad_B_comb_dup.fits,0.0264,1.096122246104707,0.46548025969869844,0.24710657256664267,1.0
LSQ12hzs,dup,B,LSQ12hzs_B_comb_dup.fits,0.072,1.092373415184936,0.4638882777858208,0.6362874110367366,1.0
LSQ14ie,dup,V,LSQ14ie_V_comb_dup.fits,0.08954,1.0907356311748946,0.4631927749538751,0.774175336461556,1.0
LSQ14gfb,dup,B,LSQ14gfb_B_comb_dup.fits,0.0527,1.0899489095013768,0.46285868501983624,0.4753524095312241,1.0
ASAS15go,dup,V,ASAS15go_V_comb_dup.fits,0.01892,1.0894284318141672,0.4626376584966809,0.17760671288595106,1.0
SN06fw,dup,B,SN06fw_B_comb_dup.fits,0.0835,1.0886647779771144,0.46231336457083966,0.7256361549143677,1.0
SN06hx,dup,B,SN06hx_B_comb_dup.fits,0.045,1.0885432892015678,0.4622617730380587,0.40909207937715275,1.0
SN08cd,dup,B,SN08cd_B_comb_dup.fits,0.007,1.0864739528543528,0.4613830068021496,0.06648782261716965,1.0
LSQ12cda,dup,V,LSQ12cda_V_comb_dup.fits,0.13749,1.0853129047870809,0.46088995508479147,1.1200165476006994,1.5
SN09F,dup,V,SN09F_V_comb_dup.fits,0.013,1.0836965869759432,0.46020356810819496,0.12226600213349247,1.0
SN05bo,dup,B,SN05bo_B_comb_dup.fits,0.014,1.082347362274377,0.45963060513193127,0.1313476383533186,1.0
LSQ15aae,dup,B,LSQ15aae_B_comb_dup.fits,0.0516,1.0823248756054746,0.459621055922874,0.46277654595718165,1.0
SN05el,dup,V,SN05el_V_comb_dup.fits,0.015,1.0796971571967484,0.4585051666580993,0.14021486628219043,1.0
ASAS15eb,swo,V,ASAS15eb_V_comb_swo.fits,0.01648,1.0789927064544251,0.4582060139717572,0.15367303469822585,1.0
LSQ14fms,dup,B,LSQ14fms_B_comb_dup.fits,0.078,1.0775456488566038,0.45759150518970615,0.6752159304592844,1.0
LSQ14ip,dup,B,LSQ14ip_B_comb_dup.fits,0.0613,1.0764476643270502,0.4571252340910418,0.5405656925629155,1.0
LSQ15aae,dup,V,LSQ15aae_V_comb_dup.fits,0.0516,1.0759480453274004,0.45691306543692145,0.46004996398835135,1.0
SN08gl,dup,V,SN08gl_V_comb_dup.fits,0.034,1.0754404255631596,0.456697499170908,0.30940386824652366,1.0
LSQ12fvl,dup,B,LSQ12fvl_B_comb_dup.fits,0.056,1.0717461920515527,0.4551287026425269,0.4947504201912447,1.0
ASAS15as,swo,V,ASAS15as_V_comb_swo.fits,0.028,1.069829785246875,0.45431487960381034,0.25530454351730547,1.0
CSP14ade,dup,B,CSP14ade_B_comb_dup.fits,0.06246,1.0693471225172175,0.45410991161456804,0.5464162769703721,1.0
SN09ds,dup,V,SN09ds_V_comb_dup.fits,0.019,1.0653258071351417,0.45240221620465276,0.17439481858939795,1.0
SN07jd,dup,B,SN07jd_B_comb_dup.fits,0.0727,1.0619404127781504,0.4509645715896704,0.6240642779251093,1.0
LSQ12ca,dup,B,LSQ12ca_B_comb_dup.fits,0.098,1.0599053692694569,0.4501003681814364,0.8153860132785873,1.0
SN07jh,dup,B,SN07jh_B_comb_dup.fits,0.04077,1.0596275376561373,0.4499823839584356,0.362612605475068,1.0
SN09D,dup,B,SN09D_B_comb_dup.fits,0.025,1.0591531536621095,0.4497809316245179,0.22649154486918396,1.0
ASAS15eb,dup,B,ASAS15eb_B_comb_dup.fits,0.01648,1.0588669982190884,0.4496594125965034,0.15080667736191153,1.0
LSQ13cwp,dup,V,LSQ13cwp_V_comb_dup.fits,0.0665,1.0581912266520377,0.4493724388345479,0.5729673700551535,1.0
LSQ13dkp,dup,V,LSQ13dkp_V_comb_dup.fits,0.06894,1.0575625659276466,0.44910547120544286,0.591943890758495,1.0
CSP14aaq,dup,V,CSP14aaq_V_comb_dup.fits,0.03591,1.057495276181538,0.44907689588128985,0.3205988918845135,1.0
SN2013fy,dup,V,SN2013fy_V_comb_dup.fits,0.0309,1.0560441688728026,0.4484606673453568,0.2771495862232341,1.0
SN06ot,dup,V,SN06ot_V_comb_dup.fits,0.053,1.054218667263685,0.44768544818881456,0.46222292236975127,1.0
SN08go,dup,V,SN08go_V_comb_dup.fits,0.062,1.0528562241355512,0.44710687186362624,0.5343163496954726,1.0
SN09ab,dup,B,SN09ab_B_comb_dup.fits,0.011,1.0522949654342442,0.44686852723831555,0.10070246045819826,1.0
ASAS15gr,swo,V,ASAS15gr_V_comb_swo.fits,0.024,1.0496985265243444,0.44576592115366853,0.21575070250909478,1.0
LSQ14q,dup,B,LSQ14q_B_comb_dup.fits,0.06695,1.0473505233104845,0.4447688159953298,0.5706341054051979,1.0
LSQ14bjj,dup,V,LSQ14bjj_V_comb_dup.fits,0.08114,1.047226068550247,0.44471596492482013,0.6801471713063723,1.0
ASAS14jc,dup,B,ASAS14jc_B_comb_dup.fits,0.011325,1.0463925332801107,0.44436199508670227,0.10305549894185102,1.0
