object,ned_resolved_name,z,ra_deg,dec_deg,ned_type,n_galaxies_nearby,nearest_galaxy,offset_arcsec,offset_kpc,verdict,error
LSQ14gfn,LSQ14gfn,0.1217,52.134,-4.20394,SN,1,,3.1539376624159656,6.9060558162534464,SN_POSITION,
LSQ14gov,LSQ14gov,0.0896,61.50554,-16.02817,SN,4,,3.9634100424686913,6.628379769647499,SN_POSITION,
LSQ14ie,LSQ14ie,0.08954,193.88929,-32.94456,SN,1,,39.15796121502886,65.44818796409835,SN_POSITION,
LSQ14ip,LSQ14ip,0.0613,146.08417,4.59792,SN,12,,11.377769080469172,13.454587854976769,SN_POSITION,
LSQ14jp,LSQ14jp,0.0454,194.33958,-15.79264,SN,1,,8.038349247692059,7.1735956226515585,SN_POSITION,
LSQ14mc,LSQ14mc,0.05662,135.55604,17.06031,SN,12,,1.8308887141803067,2.0108427256631085,SN_POSITION,
LSQ14q,LSQ14q,0.06695,133.49004,17.32714,SN,14,,7.642810664784086,9.805652441528563,SN_POSITION,
LSQ14wp,LSQ14wp,0.06945,153.52379,6.67508,SN,7,,2.9606496202387493,3.928810283670037,SN_POSITION,
LSQ14xi,LSQ14xi,0.0508,187.67154,-13.77275,SN,1,,4.37207379442912,4.337945802057566,SN_POSITION,
LSQ15aae,LSQ15aae,0.0516,247.56537,5.933,SN,1,,12.624077036159374,12.710746584402651,SN_POSITION,
LSQ15agh,LSQ15agh,0.0603,163.226,23.598,SN,9,,1.736976146094407,2.0229017842774675,SN_POSITION,
LSQ15aja,LSQ15aja,0.07,255.78713,12.46156,SN,2,,0.20628951275494833,0.2757386414827857,SN_POSITION,
LSQ15alq,LSQ15alq,0.0471,197.32742,-25.87222,SN,1,,14.4426249399613,13.344569655528135,SN_POSITION,
LSQ15bv,LSQ15bv,0.0689,164.94704,-16.81961,SN,2,,3.8314384713433185,5.047337228983216,SN_POSITION,
PS1-14xw,PS1-14xw,0.024,253.24013,2.39347,SN,2,,32.64519599615306,15.80027461832172,SN_POSITION,
PS15sv,PS15sv,0.0333,243.29892,1.59197,SN,0,,,,SN_POSITION,
SN04dt,SN2004dt,0.02,30.55321,-0.09764,SN,12,,12.662838207065994,5.132055794061254,SN_POSITION,
SN04ef,SN2004ef,0.031,340.54175,19.99456,SN,1,,10.98855162210061,6.812106856917237,SN_POSITION,
SN04eo,SN2004eo,0.016,308.22579,9.92853,SN,2,,0.0,0.0,SN_POSITION,
SN04ey,SN2004ey,0.016,327.28254,0.44422,SN,10,,5.265976235293908,1.7156594276177997,SN_POSITION,
SN04gs,SN2004gs,0.027,129.59658,17.62772,SN,7,,16.1033027259627,8.73663892106534,SN_POSITION,
SN04gu,SN2004gu,0.046,191.603,11.94892,SN,8,,3.0566716749808935,2.761921175312917,SN_POSITION,
SN05A,SN2005A,0.019,37.68021,-2.93883,SN,1,,6.228242062791848,2.4009014672467712,SN_POSITION,
SN05ag,SN2005ag,0.08,224.18188,9.32847,SN,8,,9.032368599852427,13.63803743362315,SN_POSITION,
SN05al,SN2005al,0.012,207.50137,-30.57617,SN,1,,17.195188340954285,4.2220950445492695,SN_POSITION,
SN05am,SN2005am,0.008,139.05196,-16.30444,SN,1,,35.84972816174631,5.896972091200347,SN_POSITION,
SN05be,SN2005be,0.034,224.88633,16.66989,SN,4,,7.025620868212653,4.7597244946704205,SN_POSITION,
SN05bg,SN2005bg,0.023,184.32158,16.37156,SN,19,,0.6908068818297951,0.32080573585640776,SN_POSITION,
SN05bl,SN2005bl,0.024,181.05108,20.40689,SN,12,,0.6426220866142485,0.3110290851217607,SN_POSITION,
SN05bo,SN2005bo,0.014,192.42096,-11.09647,SN,2,,14.243231343141453,4.070257242562431,SN_POSITION,
SN05el,SN2005el,0.015,77.953,5.19428,SN,2,,0.0,0.0,SN_POSITION,
SN05eq,SN2005eq,0.029,47.20546,-7.03325,SN,5,,0.0,0.0,SN_POSITION,
SN05gj,SN2005gj,0.062,45.29979,-0.55386,SN,13,,0.7289204407005008,0.8710984634839203,SN_POSITION,
SN05hc,SN2005hc,0.046,29.2021,-0.21258,SN,10,,0.036000000000036,0.03252857123164397,SN_POSITION,
SN05hj,SN2005hj,0.0574,21.7017,-1.23813,SN,16,,0.6829084552412119,0.7596634969017623,SN_POSITION,
SN05hk,SN2005hk,0.013,6.96204,-1.19814,SN,13,,0.1938293930803174,0.05149622173794186,SN_POSITION,
SN05iq,SN2005iq,0.034,359.63542,-18.70917,SN,1,,19.6611886711992,13.320081323496042,SN_POSITION,
SN05ir,SN2005ir,0.0764,19.1825,0.79463,SN,6,,0.035996537814252494,0.05212343622416628,SN_POSITION,
SN05kc,SN2005kc,0.015,338.53058,5.56842,SN,1,,10.659165713022967,3.259665547554683,SN_POSITION,
SN05ke,SN2005ke,0.005,53.76812,-24.94411,SN,1,,56.60918841346103,5.841158860787497,SN_POSITION,
SN05ki,SN2005ki,0.019,160.11758,9.20233,SN,4,,19.7210859329006,7.602206798426281,SN_POSITION,
SN05ku,SN2005ku,0.04541,344.928,-0.01373,SN,11,,1.0948972546150695,0.9773134523334207,SN_POSITION,
SN05lu,SN2005lu,0.032,39.01546,-17.26389,SN,2,,3.562351162997594,2.2769070029870178,SN_POSITION,
SN05M,SN2005M,0.025,144.38483,23.20075,SN,16,,9.161931221898264,4.613579212747207,SN_POSITION,
SN05mc,SN2005mc,0.025,126.7765,21.646,SN,9,,6.114674871889146,3.079103760812832,SN_POSITION,
SN05na,SN2005na,0.026,105.40258,14.13325,SN,1,,7.486408898739473,3.9159309216686813,SN_POSITION,
SN05W,SN2005W,0.009,27.69063,21.75989,SN,2,,10.810647702583893,1.998106117993111,SN_POSITION,
SN06ax,SN2006ax,0.017,171.01442,-12.29144,SN,2,,0.532111061407328,0.18397440392981862,SN_POSITION,
SN06bd,SN2006bd,0.026,174.61858,20.52622,SN,10,,15.223912196638771,7.963202294443812,SN_POSITION,
SN06bh,SN2006bh,0.011,340.06708,-66.48508,SN,5,,0.0,0.0,SN_POSITION,
SN06br,SN2006br,0.025,202.5075,13.41578,SN,7,,6.822906913513377,3.435740865578401,SN_POSITION,
SN06bt,SN2006bt,0.032,239.12721,20.046,SN,10,,4.331743717182727,2.7686707889008377,SN_POSITION,
SN06D,SN2006D,0.009,193.14142,-9.77522,SN,2,,12.29162027947982,2.271830731715238,SN_POSITION,
