object,ned_resolved_name,z,ra_deg,dec_deg,ned_type,n_galaxies_nearby,nearest_galaxy,offset_arcsec,offset_kpc,verdict,error
SN08ia,SN2008ia,0.022,132.64646,-61.27794,SN,1,,4.883441062485779,2.1718515546224664,SN_POSITION,
SN08J,SN2008J,0.016,38.60033,-10.84531,SN,1,,7.531869514277778,2.453889338343463,SN_POSITION,
SN08O,SN2008O,0.0389,104.39358,-45.81231,SN,1,,7.243152347870026,5.581517218047323,SN_POSITION,
SN08R,SN2008R,0.013,45.97375,-11.99428,SN,2,,14.944075662750928,3.9703133862608597,SN_POSITION,
SN09aa,SN2009aa,0.027,170.92617,-22.27069,SN,1,,18.78953622849399,10.194020215366352,SN_POSITION,
SN09ab,SN2009ab,0.011,64.15162,2.76417,SN,1,,36.933522466875125,8.323022005572936,SN_POSITION,
SN09ad,SN2009ad,0.028,75.88914,6.65995,SN,1,,9.805845600192946,5.510444511396191,SN_POSITION,
SN09ag,SN2009ag,0.009,107.92004,-26.68508,SN,0,,,,SN_POSITION,
SN09al,SN2009al,0.022,162.84196,8.57853,SN,9,,12.87065404991723,5.724068264497885,SN_POSITION,
SN09cz,SN2009cz,0.021,138.75008,29.73531,SN,8,,18.82159031421088,7.999840801021878,SN_POSITION,
SN09D,SN2009D,0.025,58.59513,-19.18172,SN,4,,0.41378644011306653,0.20836617001221897,SN_POSITION,
SN09dc,SN2009dc,0.021,237.8005,25.70778,SN,14,,5.114340869149114,2.1737755456541583,SN_POSITION,
SN09ds,SN2009ds,0.019,177.26677,-9.72902,SN,1,,13.574148232154636,5.232647042076666,SN_POSITION,
SN09F,SN2009F,0.013,74.84817,-11.13058,SN,1,,11.607515244899131,3.0838624079588297,SN_POSITION,
SN09I,SN2009I,0.026,41.29333,-4.71372,SN,1,,12.151763245065089,6.35624717909271,SN_POSITION,
SN09le,SN2009le,0.018,32.32142,-23.41244,SN,1,,15.978495867642415,5.8423684972201055,SN_POSITION,
SN09P,SN2009P,0.025,170.16158,-3.54619,SN,1,,2.700834946085861,1.3600315984189688,SN_POSITION,
SN09Y,SN2009Y,0.009,220.60235,-17.24631,SN,2,,26.106614124138027,4.825222950245404,SN_POSITION,
SN10ae,SN2010ae,0.003662,108.97771,-57.34358,SN,1,,2.731540098571654,0.20676532154042812,SN_POSITION,
SN2011im,SN2011im,0.016228,341.10583,-0.16722,SN,4,,16.207188868264723,5.3540809672675245,SN_POSITION,
SN2011iv,SN2011iv,0.006,54.71396,-35.59222,SN,1,,9.822538969725889,1.2147505613204765,SN_POSITION,
SN2011iy,SN2011iy,0.0043,197.24329,-15.51781,SN,1,,17.08697547284454,1.5175637551195331,SN_POSITION,
SN2011jh,SN2011jh,0.008,191.81008,-10.06314,SN,1,,16.57405021594111,2.726288777437604,SN_POSITION,
SN2011jn,SN2011jn,0.047,194.31162,-17.40014,SN,26,,20.95196460867778,19.320202858395866,SN_POSITION,
SN2011jt,SN2011jt,0.028,223.34588,2.96197,SN,7,,15.861222736818924,8.913294308082572,SN_POSITION,
SN2012aq,SN2012aq,0.052,223.52138,22.09461,SN,15,,0.1269431814182238,0.1287445705934463,SN_POSITION,
SN2012ar,SN2012ar,0.0283,245.15008,-10.46064,SN,1,,28.30802182086972,16.072481803140303,SN_POSITION,
SN2012bl,SN2012bl,0.0187,305.98033,-48.35481,SN,2,,18.597438657790033,7.0584207807038615,SN_POSITION,
SN2012bo,SN2012bo,0.0254,192.68846,-14.26903,SN,1,,12.566324065397072,6.426044803105958,SN_POSITION,
SN2012E,SN2012E,0.02,38.34496,9.58489,SN,0,,,,SN_POSITION,
SN2012fr,SN2012fr,0.005457,53.39996,-36.12714,SN,6,,42.93984742576244,4.832972077613715,SN_POSITION,
SN2012G,SN2012G,0.0258,189.89629,16.58678,SN,18,,3.317208627453096,1.7222062352782683,SN_POSITION,
SN2012gm,SN2012gm,0.0148,349.40429,14.00247,SN,15,,6.9366554341194,2.0935132939121694,SN_POSITION,
SN2012hl,SN2012hl,0.0332,12.57398,24.53117,SN,1,,2.3673472808487697,1.5675963262965433,SN_POSITION,
SN2012id,SN2012id,0.0157,70.67142,18.58325,SN,1,,18.607102875932554,5.950705900358186,SN_POSITION,
SN2012ij,SN2012ij,0.01,175.066,17.45617,SN,8,,5.418108018953348,1.1113310656837114,SN_POSITION,
SN2012U,SN2012U,0.01972,31.51804,-55.19375,SN,2,,7.245045914986382,2.8961784316035417,SN_POSITION,
SN2013fy,SN2013fy,0.0309,324.36296,-47.03189,SN,2,,17.82427984759003,11.015440470462597,SN_POSITION,
SN2013hn,SN2013hn,0.0151,207.24654,-30.29069,SN,2,,23.403748070580583,7.203909997755904,SN_POSITION,
