file,object,filter,telescope,redshift,ned_resolved_name,ned_error
D:\Thesis\pd\CSPAll\SN2012gm_B_comb_dup.fits,SN2012gm,B,duPont,0.0148,SN2012gm,
D:\Thesis\pd\CSPAll\SN2012gm_V_comb_dup.fits,SN2012gm,V,duPont,0.0148,SN2012gm,
D:\Thesis\pd\CSPAll\SN2012hl_B_comb_dup.fits,SN2012hl,B,duPont,0.0332,SN2012hl,
D:\Thesis\pd\CSPAll\SN2012hl_V_comb_dup.fits,SN2012hl,V,duPont,0.0332,SN2012hl,
D:\Thesis\pd\CSPAll\SN2012id_B_comb_dup.fits,SN2012id,B,duPont,0.0157,SN2012id,
D:\Thesis\pd\CSPAll\SN2012id_V_comb_dup.fits,SN2012id,V,duPont,0.0157,SN2012id,
D:\Thesis\pd\CSPAll\SN2012ij_B_comb_dup.fits,SN2012ij,B,duPont,0.01,SN2012ij,
D:\Thesis\pd\CSPAll\SN2012ij_V_comb_dup.fits,SN2012ij,V,duPont,0.01,SN2012ij,
D:\Thesis\pd\CSPAll\SN2012U_B_comb_dup.fits,SN2012U,B,duPont,0.01972,SN2012U,
D:\Thesis\pd\CSPAll\SN2012U_V_comb_dup.fits,SN2012U,V,duPont,0.01972,SN2012U,
D:\Thesis\pd\CSPAll\SN2012U_V_comb_swo.fits,SN2012U,V,Swope,0.01972,SN2012U,
D:\Thesis\pd\CSPAll\SN2013fy_B_comb_dup.fits,SN2013fy,B,duPont,0.0309,SN2013fy,
D:\Thesis\pd\CSPAll\SN2013fy_V_comb_dup.fits,SN2013fy,V,duPont,0.0309,SN2013fy,
D:\Thesis\pd\CSPAll\SN2013fy_V_comb_swo.fits,SN2013fy,V,Swope,0.0309,SN2013fy,
D:\Thesis\pd\CSPAll\SN2013hn_B_comb_dup.fits,SN2013hn,B,duPont,0.0151,SN2013hn,
D:\Thesis\pd\CSPAll\SN2013hn_V_comb_dup.fits,SN2013hn,V,duPont,0.0151,SN2013hn,
