object,ned_resolved_name,redshift,ra_deg,dec_deg
LSQ13dqh,LSQ13dqh,0.1038,65.52454,-2.89006
LSQ13pf,LSQ13pf,0.085,207.05975,-11.64408
LSQ13ry,LSQ13ry,0.03,158.2,4.19771
LSQ13vy,LSQ13vy,0.032,241.732,3.001
LSQ14act,LSQ14act,0.0591,239.93604,-10.44467
LSQ14age,LSQ14age,0.08054,201.03583,-13.44053
LSQ14ahc,LSQ14ahc,0.05086,205.95067,-32.91019
LSQ14ahm,LSQ14ahm,0.04977,175.34354,-12.39931
LSQ14ajn,LSQ14ajn,0.02101,178.877,11.924
LSQ14asu,LSQ14asu,0.0684,167.89975,-21.46658
LSQ14auy,LSQ14auy,0.0825,217.04704,-4.05483
LSQ14azy,LSQ14azy,0.0458,168.14467,12.07356
LSQ14ba,LSQ14ba,0.07755,165.34592,-15.61953
LSQ14bbv,LSQ14bbv,0.0588,149.888,-56.99107
LSQ14bjj,LSQ14bjj,0.08114,215.2045,-5.25058
LSQ14fms,LSQ14fms,0.078,3.74929,-51.211
LSQ14foj,LSQ14foj,0.04607,6.64442,-32.80917
LSQ14fom,LSQ14fom,0.05626,329.95717,-30.27097
LSQ14gfb,LSQ14gfb,0.0527,77.524,-36.31208
LSQ14gfn,LSQ14gfn,0.1217,52.134,-4.20394
LSQ14gov,LSQ14gov,0.0896,61.50554,-16.02817
LSQ14ie,LSQ14ie,0.08954,193.88929,-32.94456
LSQ14ip,LSQ14ip,0.0613,146.08417,4.59792
LSQ14jp,LSQ14jp,0.0454,194.33958,-15.79264
LSQ14mc,LSQ14mc,0.05662,135.55604,17.06031
LSQ14q,LSQ14q,0.06695,133.49004,17.32714
LSQ14wp,LSQ14wp,0.06945,153.52379,6.67508
LSQ14xi,LSQ14xi,0.0508,187.67154,-13.77275
LSQ15aae,LSQ15aae,0.0516,247.56537,5.933
LSQ15agh,LSQ15agh,0.0603,163.226,23.598
LSQ15aja,LSQ15aja,0.07,255.78713,12.46156
LSQ15alq,LSQ15alq,0.0471,197.32742,-25.87222
LSQ15bv,LSQ15bv,0.0689,164.94704,-16.81961
PS1-14xw,PS1-14xw,0.024,253.24013,2.39347
PS15sv,PS15sv,0.0333,243.29892,1.59197
SN04dt,SN2004dt,0.02,30.55321,-0.09764
SN04ef,SN2004ef,0.031,340.54175,19.99456
SN04eo,SN2004eo,0.016,308.22579,9.92853
SN04ey,SN2004ey,0.016,327.28254,0.44422
SN04gs,SN2004gs,0.027,129.59658,17.62772
SN04gu,SN2004gu,0.046,191.603,11.94892
SN05A,SN2005A,0.019,37.68021,-2.93883
SN05ag,SN2005ag,0.08,224.18188,9.32847
SN05al,SN2005al,0.012,207.50137,-30.57617
SN05am,SN2005am,0.008,139.05196,-16.30444
SN05be,SN2005be,0.034,224.88633,16.66989
SN05bg,SN2005bg,0.023,184.32158,16.37156
SN05bl,SN2005bl,0.024,181.05108,20.40689
SN05bo,SN2005bo,0.014,192.42096,-11.09647
SN05el,SN2005el,0.015,77.953,5.19428
SN05eq,SN2005eq,0.029,47.20546,-7.03325
SN05gj,SN2005gj,0.062,45.29979,-0.55386
SN05hc,SN2005hc,0.046,29.2021,-0.21258
