object,z,flux_B,flux_V,mag_B,mag_V,B_minus_V,B_minus_V_err,flag_low_flux
LSQ14fms,0.078,2953.4111169161906,9619.234118109514,20.89034565182901,19.88315593632836,1.007189715500651,0.0963918041124922,False
LSQ14ip,0.0613,158.02673566550448,-896.0231131540659,,,,0.1214887454609824,True
LSQ12fvl,0.056,16966.98709750664,56281.21625867898,19.35838902561482,18.16111783211855,1.1972711934962703,0.1394768652386544,False
CSP14ade,0.06246,31519.845493641456,93472.56509124108,18.44949561107424,17.49593485592976,0.9535607551444798,0.127859000765754,False
LSQ12ca,0.098,4722.678102484465,13215.21097258637,20.749640942950197,19.819309553847063,0.9303313891031308,0.1327782053656186,False
ASAS15eb,0.01648,1103601.1162077056,3519350.8744533155,14.648865828134326,13.513415336841463,1.1354504912928611,0.1213917761339653,False
LSQ14q,0.06695,4014.667684985369,9111.085222309395,20.607724864472903,19.996136317974496,0.6115885464984068,0.1324230935536642,False
ASAS14jc,0.011325,585968.9311421541,1355420.0866055922,15.294039455271722,14.461772238674484,0.8322672165972396,0.2134647868225587,False
SN2012gm,0.0148,531732.5697436148,1186257.4405680504,14.435326005424947,13.910426774265805,0.5248992311591429,0.1454362694877709,False
ASAS15ba,0.02313,34878.33782317091,70934.55517259646,18.282031510671143,17.71640099357125,0.5656305170998941,0.2431185565454258,False
LSQ14ba,0.07755,7155.731093815783,15304.173015166729,20.0956042179503,19.508331737215894,0.5872724807344056,0.0716246493997871,False
SN2012ij,0.01,692650.0884166922,2295792.3580931723,14.614045092802652,13.878246199400923,0.7357988934017285,0.1886826752937708,False
LSQ12gdj,0.03,3103.199443301306,12613.876335714282,21.09276423559981,19.86451222406651,1.2282520115333,0.1012175057348649,False
LSQ14gov,0.0896,3060.618032665909,7607.118041823553,20.636076919053,20.187143695058303,0.4489332239946932,0.2776364148775572,False
LSQ14foj,0.04607,3451.945290335608,5729.745587988234,20.80841758980645,20.51522165344165,0.2931959363647962,0.1296064264320858,False
LSQ14asu,0.0684,18645.74514145677,64829.93482940186,19.03268173051202,17.923123394379346,1.1095583361326753,0.0780745605677164,False
LSQ14bbv,0.0588,,,,,,0.0543134061281776,False
SN2013fy,0.0309,20581.24250208583,72099.20125035502,18.12583545882803,17.13971221469709,0.9861232441309368,0.0807674539801066,False
LSQ12hvj,0.071,15016.23859919838,35121.368819250594,19.26115107656335,18.52406413090644,0.7370869456569089,0.0478860823752348,False
LSQ14auy,0.0825,4154.155611855051,15250.467500608827,20.66472303107101,19.49401467709821,1.1707083539727954,0.0983218113353077,False
LSQ14ajn,0.02101,248739.3895302392,690648.0189071399,16.122348708775576,15.296835279445736,0.8255134293298401,0.0919501127542276,False
CSP12G,0.03697,16428.20921864219,29268.65242756585,18.89113004502662,18.425241575419708,0.465888469606913,0.0635863369312722,False
ASAS15cd,0.03435,319534.77855220024,634185.153783604,15.901943726353464,15.418474367997158,0.4834693583563059,0.1973271989909012,False
SN2011jh,0.008,2334411.60399889,5166051.825635995,14.08288939292354,13.069552553601078,1.0133368393224629,0.331929357559432,False
LSQ13cwp,0.0665,-254.24520578811712,4636.387529602446,,,,0.0778601624302811,True
LSQ13dby,0.09993,-383.8696551587978,232.63587135909228,,,,0.0864295466285612,True
LSQ14mc,0.05662,17187.51369676045,37329.50424233599,19.01407030078561,18.460247370672487,0.5538229301131246,0.0718973184154439,False
ASAS14mf,0.0311,53137.44018327567,99438.50551552507,17.348357690307697,17.379075079373585,-0.030717389065888,0.3830182936579513,False
SN2012bl,0.0187,39274.44182934524,69623.65524796139,18.401990263468733,18.006796021977387,0.3951942414913461,0.0630037787325907,False
LSQ12gpw,0.058,14350.397040364223,30001.96796573308,19.18986771912875,18.76003662416852,0.4298310949602317,0.1744473658908218,False
LSQ15bv,0.0689,36052.24755593733,120699.92531104268,18.370699969583384,17.230897833491294,1.13980213609209,0.1041433486569933,False
LSQ14act,0.0591,8731.976029297895,30719.069856529983,19.840538851101005,18.75098724973841,1.08955160136259,0.050057026218787,False
SN2012G,0.0258,76060.26524583249,108025.11321998527,17.7737315293673,16.982681846406717,0.7910496829605833,0.4437534741132867,False
LSQ12gxj,0.036,5134.634282242911,13032.54685189448,20.48390746932788,19.989677012622455,0.4942304567054236,0.2729542787837876,False
LSQ13dpm,0.05086,17463.463162432072,35107.27230223862,18.858504108339552,18.334460701161976,0.5240434071775759,0.0526947289359431,False
LSQ12hnr,0.1243,125.20414014443018,495.5000265976549,24.34257520785505,23.10118863570048,1.2413865721545747,0.0718020892891096,True
ASAS15be,0.0219,63395.659223440125,112504.69954409068,17.601848639846352,17.149249755224897,0.4525988846214552,0.2035093696307922,False
ASAS15hx,0.0081,53965.07653894276,108126.45393546326,17.732053247997897,17.10370365970961,0.6283495882882875,0.1706231159548152,False
LSQ14age,0.08054,8280.012288025022,16784.87986668554,19.92039547153169,19.400326068087768,0.5200694034439266,0.0792720416947246,False
LSQ14gfn,0.1217,5129.005423180178,15901.505717767415,20.370539731395223,19.36082027076186,1.009719460633363,0.0845451740522555,False
ASAS15fr,0.03344,120991.14628371169,233422.73167416005,17.104584072950153,16.495775468293047,0.6088086046571064,0.0992866189211211,False
SN2011jn,0.047,647.4885812710563,364.92479477730376,22.878124941015148,23.80980028910936,-0.9316753480942096,0.185805219275859,True
LSQ14ahc,0.05086,22248.43592703061,50941.17336995328,18.85650042967649,18.19957793312436,0.6569224965521343,0.0657241339754466,False
LSQ12gzm,0.1,-489.271088663734,-430.1006712634572,,,,0.0921848923919508,True
LSQ12fuk,0.02,102828.78159917433,331004.9193170148,17.57158601336627,16.519010843253923,1.0525751701123482,0.2228080514439835,False
LSQ12gyc,0.093,805.6335517470234,1547.028674536353,22.49083180790504,21.87248737168697,0.6183444362180701,0.1208094874986401,True
LSQ12cdl,0.111,12488.9809535696,28097.800212255148,19.600830916077363,18.90589583760942,0.6949350784679424,0.1670942247960065,False
LSQ12hno,0.048,18773.300609524,39186.91539887012,19.06122003070633,18.720480694814377,0.3407393358919535,0.226510221648072,False
LSQ12fxd,0.031,4157.402560974005,10520.37744683348,20.823209233037787,20.0786906291486,0.7445186038891869,0.1347704599611451,False
LSQ12hjm,0.07,13941.788078190524,32474.58239090099,19.629169957049395,18.976822866409805,0.6523470906395907,0.2134548465192609,False
ASAS15al,0.032,32227.08576791401,48739.0105881366,18.501422319895678,18.176790441285107,0.3246318786105675,0.2382705919703838,False
SN2012ar,0.0283,-2749.4493511579585,1793.513490572106,,,,0.1088634321746385,True
LSQ12gln,0.112,239.23531388137684,832.6608170109258,24.092526817912404,22.909576350650617,1.1829504672617863,0.1398434974196894,True
ASAS15da,0.048,47000.43366916914,142215.9534477791,17.708468708787784,16.690901704073276,1.0175670047145076,0.4873100982950185,False
SN2011iy,0.0043,13670720.744183818,34067724.855779804,12.170171783075752,11.25925271233993,0.9109190707358223,0.1609646580875111,False
SN2012bo,0.0254,184683.97917368443,427919.60733781214,16.809653723933963,16.081452848981073,0.7282008749528899,0.0954189965994234,False
LSQ12btn,0.054,6669.234133217348,25159.208869774426,20.5595766118201,19.2073575113244,1.3522191004956987,0.0767518493988765,False
LSQ12agq,0.064,17938.8211094354,41178.30186909044,19.37942004369708,18.63529204232169,0.7441280013753868,0.1317550952497153,False
LSQ12aor,0.093,13065.181824958338,25928.174669473403,19.778311149252588,19.18281126382543,0.5954998854271594,0.1231776106351938,False
KISS13l,0.13201,747.3454863572265,1166.6876912075468,21.940103358407164,22.144802206314587,-0.204698847907423,0.3039777571095767,True
ASAS14hr,0.03362,135707.51967617433,334370.7028669444,16.745325962930202,16.11405200028292,0.6312739626472812,0.173931676567942,False
