object,z,flux_B,flux_V,mag_B,mag_V,B_minus_V,B_minus_V_err,annulus_tag,epoch,zp_err_B,zp_err_V,n_ref_B,n_ref_V
ASAS14mf,0.0311,53120.55922019648,99558.88280390046,17.348702667119674,17.37776151443421,-0.02905884731453412,0.3830182936579513,ann20-30,CSP-II,0.3752110199778634,0.0769396111493946,5,5
ASAS14my,0.020514,369365.3749492551,916384.840479744,15.811811130420057,15.078556556611712,0.7332545738083454,0.3798523065770777,ann20-30,CSP-II,0.2379034280320895,0.2961245240477503,1,1
ASAS15aj,0.01092,3164639.731498852,8911714.716074243,12.81813876758557,11.822797096935723,0.9953416706498466,0.40209145179772443,ann20-30,CSP-II,0.2656772212226067,0.3018164172675766,7,6
ASAS15al,0.032,34951.140330557275,53952.949085846674,18.41332153265558,18.06644424209854,0.346877290557039,0.23827059197038386,ann20-30,CSP-II,0.1395718314592776,0.1931128656020105,5,5
ASAS15as,0.028,11303.815546933582,20395.310773716606,20.14700599769888,19.763662702995294,0.38334329470358597,0.26083359098458847,ann20-30,CSP-II,0.2053995347970405,0.1607644030594924,6,5
ASAS15ba,0.02313,35128.79021717496,71215.94157099858,18.274262976253127,17.71210256611147,0.562160410141658,0.2431185565454258,ann20-30,CSP-II,0.1162548468242213,0.213521528485088,5,5
ASAS15be,0.0219,63640.134309288725,112652.64155449536,17.597669726609855,17.147822966125034,0.44984676048482086,0.20350936963079222,ann20-30,CSP-II,0.0766753973202142,0.1885124584034427,6,6
ASAS15cb,0.04004,231558.8294259724,466879.1844554752,16.339326589077025,15.854399055505233,0.48492753357179197,0.11726035122844675,ann20-30,CSP-II,0.086449952569199,0.0792237064962372,4,4
ASAS15cd,0.03435,322724.2551011601,640437.3082487828,15.891160044227266,15.407822986737306,0.48333705748996003,0.1973271989909012,ann20-30,CSP-II,0.1352434475629346,0.1436914519130713,6,6
ASAS15da,0.048,49000.21332953579,144585.82244127963,17.66322844468111,16.672958222916442,0.9902702217646677,0.48731009829501853,ann20-30,CSP-II,0.3525857542775247,0.3363843304627158,4,4
ASAS15dd,0.02437,313568.9132903396,967875.0408478308,15.92602518336665,15.01698756114239,0.9090376222242611,0.08464256157930093,ann20-30,CSP-II,0.0596025103915363,0.06009911801127,7,7
ASAS15eb,0.01648,1118667.8422271493,3568376.315392713,14.634143271244348,13.498395135393242,1.135748135851106,0.12139177613396537,ann20-30,CSP-II,0.0665034693262247,0.101554181994316,23,22
ASAS15fr,0.03344,127247.44771227396,242846.7741703033,17.04984535080548,16.452802488856616,0.5970428619488644,0.09928661892112119,ann20-30,CSP-II,0.0442331332997589,0.088889046655219,8,8
ASAS15ga,0.00663,6449184.111861361,18907404.83387913,12.645829640479686,11.742674670495667,0.9031549699840191,0.2154609096324477,ann20-30,CSP-II,0.1360999701586712,0.1670335346643021,3,3
ASAS15go,0.01892,349931.06008600834,843656.1142894755,15.879808912806647,15.091271063431144,0.7885378493755031,0.1256163150072386,ann20-30,CSP-II,0.084500451902078,0.0929469323019453,8,7
ASAS15gr,0.024,73090.15769808272,131079.90844224396,17.457200127542116,16.95336171691257,0.5038384106295446,0.2145250960176616,ann20-30,CSP-II,0.1418208818903929,0.1609591696089979,8,4
ASAS15hf,0.00618,1376463.700348716,3538976.66250816,14.403024825857873,13.483747914590392,0.919276911267481,0.12296886974565391,ann20-30,CSP-II,0.0456744115128527,0.1141717612173789,8,6
ASAS15hg,0.02977,108896.49100571036,311483.0858589545,17.0359748767057,16.195490521745683,0.8404843549600187,0.11760543484802163,ann20-30,CSP-II,0.1100365949787674,0.041508867381211,5,4
ASAS15hx,0.0081,59682.49294550338,114935.52825740156,17.62271785294438,17.037397819885854,0.585320033058526,0.17062311595481525,ann20-30,CSP-II,0.0813374243432298,0.1499882365365354,6,6
CSP12G,0.03697,16788.390602359763,29714.88920758621,18.867582945158016,18.40881310543061,0.45876983972740604,0.06358633693127226,ann20-30,CSP-II,0.0519312176951853,0.036692926743891,18,19
CSP12J,0.0147,532457.9655747476,1473588.4454432554,15.082370202652186,14.136650150844625,0.9457200518075606,0.08630469721580511,ann20-30,CSP-II,0.0665663163249176,0.0549311049628788,17,17
CSP13aam,0.07495,2033.5509116726232,7475.878791994399,20.448439909126794,19.53542466664929,0.9130152424775027,0.1985248815808093,ann20-30,CSP-II,0.1697559633652588,0.1029322180301545,10,10
CSP13aao,0.0614,32654.89947399741,102269.83629053085,17.57854549225477,16.683720106468165,0.8948253857866035,0.057786028730900635,ann20-30,CSP-II,0.0379650883894929,0.043564632215439,13,13
CSP14aaq,0.03591,358308.48260715645,1121392.1886061446,15.716340474735055,14.683371531765832,1.032968942969223,0.12895890696516768,ann20-30,CSP-II,0.0562036325566977,0.1160670124242133,11,11
CSP14acy,0.0664,5441.450301768327,17953.101329230125,20.260495144721446,19.8966442718756,0.3638508728458447,0.1611310598585732,ann20-30,CSP-II,0.0398719006547501,0.1561199858740861,6,6
CSP14ade,0.06246,32975.676584254856,95930.51801163064,18.400471523428934,17.467753284017306,0.9327182394116278,0.12785900076575407,ann20-30,CSP-II,0.0552762886672137,0.1152929138672276,6,5
KISS13l,0.13201,836.3932075032894,1350.9293000862092,21.81788065524833,21.98560719348692,-0.16772653823858974,0.30397775710957675,ann20-30,CSP-II,0.2905114395473557,0.089473908540378,6,9
KISS13v,0.08,1153.5440241347026,1886.1534444966017,22.531052898880436,22.31080472777171,0.2202481711087252,0.09809645494430354,ann20-30,CSP-II,0.0643830803614304,0.0740117114773964,7,6
KISS15m,0.0243,1718.047696057598,2727.103691611397,21.23125007838361,21.254497092011242,-0.02324701362763193,0.31581724982440695,ann20-30,CSP-II,0.3098353974238754,0.0611764806918564,1,7
