object,z,flux_B,flux_V,mag_B,mag_V,B_minus_V,B_minus_V_err,annulus_tag,epoch,zp_err_B,zp_err_V,n_ref_B,n_ref_V,bkg_frac_B,bkg_frac_V,zp_diff,zp_diff_n_mad,flag_high_bkg,flag_large_err,flag_zp_outlier,flag_low_flux,flag_exclude,ra_deg,dec_deg,ebv_sfd,A_B,A_V,colour_excess_BV,ebv_applied,mag_B_dered,mag_V_dered,B_minus_V_dered,B_minus_V_dered_err,gal_b_deg
LSQ12aor,0.093,13496.157657881762,26515.476090529784,19.743074437186188,19.15849254973732,0.5845818874488735,0.1231776106351938,ann20-30,CSP-II,0.1036562470484591,0.0665440170836135,11,9,-0.0103705126180367,0.0058978751194171,-0.14864132871066,1.0307188576403428,False,False,False,False,False,163.82346,-14.30036,0.04114599363052985,0.14919537290430124,0.11282231453491284,0.036373058369388395,0.036373058369388395,19.593879064281886,19.045670235202408,0.5482088290794851,0.1233150134646997,39.89542675656259
LSQ12bld,0.083,4943.098990926687,7233.341682351807,20.963165051396253,20.494567654670696,0.4685973967255563,0.2917109008463241,ann20-30,CSP-II,0.2592875431839407,0.1336608380274866,5,5,0.1284192740509932,0.1781873477798689,0.0552482151181124,2.966541737539358,True,True,False,False,True,205.68342,8.09271,0.02331487727981154,0.08453974501659664,0.06392939350124324,0.020610351515353398,0.020610351515353398,20.878625306379657,20.430638261169452,0.4479870452102029,0.291729539486949,67.41909727153293
LSQ12btn,0.054,11870.156988834928,35348.37497387137,19.93362536550072,18.83817632956422,1.0954490359364968,0.0767518493988765,ann20-30,CSP-II,0.0632040560370448,0.0435441578930392,14,15,0.10805467174562,0.1015352431415143,-0.089333440473581,1.5938157426098285,True,False,False,False,True,140.37708,-9.6916,0.03289929041555049,0.11929282704678607,0.09020985431943944,0.029082972727346626,0.029082972727346626,19.814332538453936,18.74796647524478,1.06636606320915,0.07689277833643354,27.22650514412626
LSQ12ca,0.098,5383.44495846675,14720.49147159404,20.607461112963943,19.70218903077868,0.9052720821852702,0.1327782053656186,ann20-30,CSP-II,0.0928316037725184,0.0949333722203975,11,9,0.0685146569515848,0.0541597697875733,-0.1868830000692511,0.6676345081863579,False,False,False,False,False,82.76508,-19.7998,0.04217579345352024,0.15292942706246437,0.1156460256495525,0.03728340141291188,0.03728340141291188,20.45453168590148,19.586543005129126,0.8679886807723584,0.13291214072405064,-26.241281786065663
LSQ12cda,0.13749,365.19436560220805,1407.3287796150034,23.6120782534382,22.329397225423552,1.2826810280146503,0.0884554438853919,ann20-30,CSP-II,0.0743510147954963,0.047919642651439,8,10,0.3672520886234453,0.2077210356045652,-0.1819977234711771,0.7140176136443259,True,False,False,True,True,207.50971,9.62981,0.0286845614496352,0.10401021981637723,0.07865306749489973,0.025357152321477505,0.025357152321477505,23.50806803362182,22.25074415792865,1.2573238756931728,0.08854843857128365,67.69813788368393
LSQ12cdl,0.111,13345.566071259236,29796.5900286282,19.52880592494469,18.84216022414713,0.6866457007975626,0.1670942247960065,ann20-30,CSP-II,0.1102947092757325,0.1255211419082858,13,15,0.0032232913246741,0.0006901883530411,-0.1854282137050127,0.6814469316994685,False,False,False,False,False,193.4165,-18.50731,0.048772185592632154,0.17684794495888417,0.13373333289499736,0.04311461206388681,0.04311461206388681,19.35195797998581,18.70842689125213,0.6435310887336758,0.1672365600769697,44.36124126869167
LSQ12fuk,0.02,102476.8862973781,329952.4632739475,17.575307935391184,16.522468526383676,1.0528394090075075,0.2228080514439835,ann20-30,CSP-II,0.0998489552292707,0.1991823634960885,5,2,0.0009309861590599,0.0010954449973763,-0.2167242255191581,0.3843079289740958,False,False,False,False,False,74.56621,-16.2995,0.07177468787060096,0.26025501821879904,0.19680619414118783,0.06344882407761121,0.06344882407761121,17.315052917172384,16.325662332242487,0.9893905849298963,0.22303920523565288,-32.199012875317656
LSQ12fvl,0.056,21910.5501114764,68845.634030565,19.080767645587663,17.94233550769926,1.1384321378884046,0.1394768652386544,ann20-30,CSP-II,0.0443332423997442,0.1322435614883662,9,9,0.0809679063197275,0.0858825714727163,-0.1046256678810415,1.448624169054484,False,False,False,False,False,75.2085,-38.65314,0.018180276485285533,0.06592168253564534,0.04985031812265293,0.016071364412992416,0.016071364412992416,19.014845963052018,17.892485189576604,1.1223607734754122,0.1395005667691232,-37.3989503198526
LSQ12fxd,0.031,7634.687161746298,16349.05594589582,20.16328631578419,19.60003723316454,0.5632490826196523,0.1347704599611451,ann20-30,CSP-II,0.1246548799340234,0.0512273148503103,10,9,0.0158947700390886,0.0308985506843645,-0.2635045019501376,-0.0598459385687248,False,False,False,False,False,80.57092,-25.59642,0.021635152012125597,0.07844906119596741,0.059323586817248385,0.019125474378719025,0.019125474378719025,20.084837254588223,19.54071364634729,0.5441236082409333,0.13480519627468376,-30.093884780583313
LSQ12gdj,0.03,11099.620619459498,23162.95745268924,19.709018119727325,19.204648622807632,0.5043694969196935,0.1012175057348649,ann20-30,CSP-II,0.0795547686307693,0.0625781292089511,11,12,0.2173328411871348,0.1419401609547608,-0.2943451890858242,-0.3526618754134676,True,False,False,False,True,358.6805,-25.67614,0.020123571551500973,0.07296807044574252,0.05517883319421567,0.017789237251526854,0.017789237251526854,19.636050049281582,19.149469789613416,0.4865802596681666,0.10125751708102654,-77.22420249907056
